Variable,Definition,Group,crop_total_ghg_crop_kgCO2e,herd_feed_farm_total_ghg_crop_kgCO2e,herd_feed_pseudofarm_total_ghg_crop_kgCO2e,herd_farm_ghge_herd_kgCO2e,herd_pseudofarm_ghge_herd_kgCO2e,herd_purchased_feed_ghge_kgCO2e,farm_total_ghge_kgCO2e,pseudofarm_total_ghge_kgCO2e,farm_total_CO2_kgCO2e,pseudofarm_total_CO2_kgCO2e,farm_total_N2O_kgCO2e,pseudofarm_total_N2O_kgCO2e,farm_total_CH4_kgCO2e,pseudofarm_total_CH4_kgCO2e
herd_feed_pseudofarm_ghg_diesel_tillage_kgCO2e,Tillage diesel GHG for all feed production (on-farm + off-farm),Herd feed — pseudofarm,,,✓,,✓,✓₋f,,✓₋f,,✓₋f,,,,
herd_feed_pseudofarm_ghg_diesel_remain_kgCO2e,Remaining diesel GHG for all feed production (on-farm + off-farm),Herd feed — pseudofarm,,,✓,,✓,✓₋f,,✓₋f,,✓₋f,,,,
herd_feed_pseudofarm_ghg_heat_fuel_kgCO2e,Heating fuel GHG for all feed production (on-farm + off-farm),Herd feed — pseudofarm,,,✓,,✓,✓₋f,,✓₋f,,✓₋f,,,,
herd_feed_pseudofarm_ghg_elec_kgCO2e,Electricity GHG for all feed production (on-farm + off-farm),Herd feed — pseudofarm,,,✓,,✓,✓₋f,,✓₋f,,✓₋f,,,,
Herd livestock emissions,,,,,,,,,,,,,,,,
herd_CH4_enteric_kgCO2e,CH4 emissions from enteric fermentation,Direct livestock emissions,,,,✓,✓,,✓,✓,,,,,✓,✓
herd_CH4_MM_kgCO2e,CH4 emissions from manure management,Direct livestock emissions,,,,✓,✓,,✓,✓,,,,,✓,✓
herd_N2O_D_MM_kgCO2e,Direct N2O emissions from manure management,Direct livestock emissions,,,,✓,✓,,✓,✓,,,✓,✓,,
herd_N2O_G_mm_kgCO2e,Indirect N2O emissions from manure management – Volatilization,Direct livestock emissions,,,,✓,✓,,✓,✓,,,✓,✓,,
herd_N2O_L_mm_kgCO2e,Indirect N2O emissions from manure management – Leaching and Run-off,Direct livestock emissions,,,,✓,✓,,✓,✓,,,✓,✓,,
herd_ghg_diesel_remain_kgCO2e,"GHG from diesel use for remaining livestock operations (barns, equipment, feeding)",Herd energy use,,,,✓,✓,,✓,✓,✓,✓,,,,
herd_ghg_heat_fuel_kgCO2e,"GHG from heating fuel use for livestock buildings (stables, barns, farrowing pens)",Herd energy use,,,,✓,✓,,✓,✓,✓,✓,,,,
herd_ghg_elec_kgCO2e,"GHG from electricity use allocated to livestock activity (lighting, milking, ventilation)",Herd energy use,,,,✓,✓,,✓,✓,✓,✓,,,,
